,NAME,INDEX,VALUATION AVG,TOTAL FUNDING USD,FUNDING FROM EARLY STAGES,FUNDING FROM EARLY STAGES > 2M,FUNDING UP UNTIL VALUATION DATE,AVG REVENUE,AVG REVENUE GROWTH,AVG EMPLOYEE GROWTH,VALUATION TO FUNDING RATIO,IS_MARKETING_INDUSTRY,IS_HEALTH_INDUSTRY,IS_ENTERPRISE SOFTWARE_INDUSTRY,IS_FINTECH_INDUSTRY,IS_FOOD_INDUSTRY,IS_ENERGY_INDUSTRY,IS_HOME LIVING_INDUSTRY,IS_TRANSPORTATION_INDUSTRY,IS_MEDIA_INDUSTRY,REVENUE MODEL MARKETPLACE & ECOMMERCE,REVENUE MODEL MANUFACTURING,REVENUE MODEL SAAS,HQ STOCKHOLM,HQ OSLO,HQ HELSINKI,HQ COPENHAGEN
2701,Cortrium,2701.0,5.5,2.962383032187126,2.962383032187126,1,2.962383032187126,0.0,0.0,0.0,1.8566133886944907,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2703,Maven Wireless,2703.0,9.0,2.596049075169933,2.596049075169933,1,2.596049075169933,2681800.0,1.957072820596622,0.0,3.466806573913043,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2705,Smartcart.fi,2705.0,7.5,1.693075483806478,1.693075483806478,0,1.693075483806478,0.0,0.0,0.0,4.4298084,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2706,Altum Technologies,2706.0,5.5,1.2415886881247507,1.2415886881247507,0,1.2415886881247507,366666.6666666667,4.08248290463863,0.9846129375121291,4.4298084,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2707,Impactpool,2707.0,3.6,1.156537741903239,1.156537741903239,0,1.156537741903239,491000.0,0.0,0.0,3.1127388839690733,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2709,Klever app,2709.0,7.5,2.066040756977209,2.066040756977209,1,2.066040756977209,30000.0,0.0,0.0,3.6301316780280413,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2710,Water Surveillance,2710.0,25.5,1.936971418903767,1.936971418903767,0,1.936971418903767,0.0,0.0,0.0,13.164881913658684,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2713,Flic (Shortcut Labs),2713.0,22.5,1.037974452894187,1.037974452894187,0,1.037974452894187,0.0,0.0,0.0,21.67683408513879,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2716,Icaniwill,2716.0,20.0,0.43243347307774166,0.43243347307774166,0,0.43243347307774166,0.0,0.0,0.0,46.24988870000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2719,Omnio,2719.0,0.35,1.4790101892443022,1.4790101892443022,0,0.07901018924430231,0.0,0.0,0.0,4.4298084,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
